id,amount,renewal_rate,network_centrality,relationship_type,historical_delay_days,duration,event
7499a225-86b0-47a5-929d-a75aef21393a,9629387.18,51.5,0.461,poc,4.7,17.6,1
87e891b5-a315-4d53-8917-ce4353342d56,4134763.13,75.7,0.269,recurring,3.6,46.6,0
2fbd399d-8e93-4b4b-8648-8012f4e10ad5,6988623.86,52.7,0.065,poc,12.5,32.6,1
7ec5c780-358a-4b80-9106-368d7e59a98c,5447665.17,36.5,0.069,poc,11.9,22.2,1
398a4688-4676-4e13-9887-168ffe362c51,10499188.32,63.6,0.071,contract,6.1,21.3,0
8d62518b-7aaa-4334-83cd-03dc5d13cada,13652721.22,55.2,0.363,poc,9.5,25.7,0
34642b34-0e70-4d63-a10d-8c867d1d1544,16861822.84,100.0,0.643,recurring,18.3,17.8,1
a08d38df-5beb-4fb6-a758-0cb4243e2b21,2623943.43,82.1,0.467,recurring,0.0,24.4,1
146d01de-6d11-4e71-810b-78f4aa2ab0ae,2696133.94,46.8,0.17,contract,17.5,26.2,1
dfe63e2f-8413-4532-a6f3-4b4572cd2532,5140918.26,62.7,0.429,contract,2.2,17.4,1
e35c7932-312d-4634-aab1-44a1407bc708,7657766.59,65.3,0.365,recurring,0.0,22.4,1
584e7d21-43f8-4884-b7b4-952aac1341d8,11844481.47,28.3,0.238,poc,20.4,27.8,0
aa916d67-6f66-4e11-8073-eb80868e5d5d,9307047.98,100.0,0.262,recurring,8.8,26.4,1
a1b3de63-59d0-4f63-9401-3908c8626fdc,7334336.38,66.7,0.24,recurring,10.0,46.0,1
902212bd-53e6-4414-be96-66646a668ff5,11698854.69,44.2,0.501,poc,11.8,7.0,1
e8a12dd8-4b0d-4537-91db-7dcd5f911811,5005398.47,66.3,0.282,contract,1.1,24.4,0
e8befbb0-a6fc-406a-bf1e-6db82a59dc08,3121881.78,39.0,0.207,poc,4.3,25.4,1
e6532edf-0ae6-4e7c-8baf-5f18b6e32a53,2066200.64,67.2,0.393,recurring,10.9,26.4,1
f1e86bf9-51d6-4678-b088-f488b9ded2f9,2962982.29,81.4,0.171,contract,11.4,28.0,1
a9efa55c-f1cf-4f7f-8782-5dc7dfe7b86a,5766571.82,95.0,0.7,recurring,0.0,31.2,0
975a812e-f4eb-4c46-adab-0bbd282fb317,2088159.37,57.3,0.474,poc,18.7,28.8,0
bde680b3-8ea0-4a64-ae3b-63c2fe54e3a6,1159435.9,43.6,0.442,poc,12.9,23.8,1
71715ffa-3575-441f-82ae-555245e46b07,5202930.57,70.8,0.446,contract,19.4,13.7,1
5a334a48-9e2a-42b0-9528-595f76f53caa,21331496.8,56.7,0.295,contract,16.4,44.9,1
