id,outstanding_bridge,current_cash,verified_receivables,monthly_burn,runway_months,past_investment_count,recommended_option
393a443a-0d07-4ed4-939c-5b9ee718c855,16725741.24,2525076.24,10673843.72,3552174.83,0.71,1,D
53876f8d-a9ed-4d27-bac0-59cbe9421119,17065325.28,6896680.45,35157522.08,3842409.08,1.79,2,A
071a9bb2-5bc7-4292-b0c2-f79e1d779ef0,31074026.73,5784812.3,7795579.39,4624825.53,1.25,1,D
7b0452d5-4655-4844-af66-f264af9017f6,27424195.04,5756833.58,56421168.16,22571563.33,0.26,1,A
dd834402-dd0f-4bc3-b2e3-4796a02beee1,23381867.94,5101536.38,32484623.58,6344796.25,0.8,0,D
e2f48afd-7144-4a43-8900-bd52b54ff477,13661117.05,18924868.86,26897054.31,5431299.53,3.48,2,A
0abb33e5-1a79-4edc-97ee-2d303761706c,28272344.79,33699363.28,20705762.64,3396628.58,9.92,0,B
e3562abc-8d23-46e7-aac8-c00d453d8f38,42536309.84,19039493.32,88416605.72,11816679.19,1.61,2,A
7299fad4-19fd-483b-ac95-5085305c6b4f,40617179.25,2792230.72,14344286.66,8061794.3,0.35,1,D
09bbc324-8be2-4640-aa46-8faee1d0090a,27193002.49,12330436.23,51758031.81,4470606.94,2.76,1,A
fcce8958-10d3-4f68-9465-9651a8fd776d,26848742.04,2916276.21,24233570.52,11777521.55,0.25,1,D
6d729d9f-e01b-4370-8370-a63e4aa0cb01,27387558.12,16009144.93,20710964.47,4860597.87,3.29,0,D
4744b500-5a59-4cff-b0f5-21427fd1dc1c,128694392.89,9323659.93,54904805.85,4728781.04,1.97,3,C
f58b0fab-a81d-4bfb-9906-4b752b9c49ce,16210675.53,58339187.87,13350813.27,16009712.97,3.64,2,D
dc556cf9-6534-4d8f-bff3-a338537f53b9,39687863.14,9739400.72,24360067.67,4777992.0,2.04,0,D
b76825dd-748d-454e-bf23-6a7090052b7e,5000000.0,8301733.76,2138707.0,4116421.37,2.02,0,D
30fb40ee-a4ad-42b0-9cb7-7da11a13d642,68657324.17,6310590.32,131844218.1,17499882.52,0.36,0,A
da1a2162-e591-4322-b83a-65f3d6989fd2,38356708.9,27046826.77,42167906.75,13736296.27,1.97,1,D
3c54dc0a-90e4-45ec-9838-4d87e6ddf08c,13544599.73,7449581.32,3571648.6,4496778.74,1.66,2,C
d06a43ae-2855-480b-a453-dce0515bee59,10914060.54,18224672.87,3549638.91,9153858.38,1.99,2,D
25b7e8db-b281-4aa7-9cc4-47d7134fdef2,20776615.34,5358227.39,32855172.17,8339787.83,0.64,2,A
b794b574-87c6-441f-beaf-ca8c78038b09,26331546.66,8132214.75,30758691.04,6342020.34,1.28,1,D
18b5aa2d-9069-49fc-9023-1285b5319057,16524350.3,23401028.29,8042997.48,6315065.01,3.71,3,D
62f10744-a941-4bb6-981f-50a1f7a2a36d,17181314.45,18306548.51,7965488.62,6537225.81,2.8,1,D
3127c42c-678c-48ca-bb22-f48ff62607e3,29653452.17,29604140.58,58552926.29,4220795.05,7.01,2,A
6fe0fdbf-d174-40c9-83eb-99dfbdd7db18,19925428.89,3615085.97,42165215.0,2498673.56,1.45,0,A
f81dfbe8-0c09-4316-b4f5-cce0c38047af,61912774.12,21232147.82,71500904.59,6555838.89,3.24,3,D
eb7d1566-e170-4dce-b424-7394807bb934,25170234.67,10559360.54,51947317.35,4311813.77,2.45,2,A
bfb718e7-3ccc-48c2-b648-76b6a250dc6c,39884320.99,12724504.23,56363240.07,5761040.51,2.21,2,D
62691bb7-8345-4790-89f8-e8449d919a37,21005894.68,7814072.06,16615210.62,4625995.28,1.69,1,D
5ccc80cd-8263-41dd-9af5-c515e65a8679,35378022.29,4135771.35,38421415.16,7193095.0,0.57,1,D
b0d4d282-e09c-4366-b39f-7990b1efe6a1,25915298.61,4667946.0,45685926.82,5394860.29,0.87,5,A
95bc31d2-275e-44ef-be25-d28e9d323771,37091655.09,22517189.45,46115013.88,3609873.62,6.24,0,B
59c294c6-f48a-4baa-bb6e-3200451b361d,22954889.59,6540942.96,6056447.39,5063624.09,1.29,1,D
caa3ad27-879e-4e08-81fd-1ada21bdf8c5,9305343.41,14680141.54,15786313.48,4020628.23,3.65,1,A
ca26b93a-fa1e-4a51-a507-a4d52008340e,19970216.66,14928424.42,13364463.46,1675866.74,8.91,1,B
ecbe12f1-8216-469e-9d33-620e3d7025b4,10874762.72,18047582.25,13744687.51,2607511.03,6.92,0,B
c4495094-c567-4157-83d1-1765ebf09081,22128480.04,10169253.35,41028676.46,7383679.8,1.38,2,A
e7bb818c-1170-40cd-98ab-e1aa3ac7413a,12056967.21,32791454.69,15236121.32,3848814.52,8.52,0,B
385f5cc3-f06f-4c2f-9e55-1edc7535effc,23227998.18,6325352.31,31209192.26,5509733.92,1.15,3,C
b4472cb6-059b-4599-ba6c-4a8802df0f18,7918141.79,9488882.96,8059787.75,3416268.48,2.78,2,D
1f91cec2-f207-44ef-b0ca-2f496c47b241,10836300.39,4298170.34,12739756.4,7317597.98,0.59,0,D
9eda3768-1681-4eb2-ab16-75a25165468c,62345059.48,12257043.56,43667260.91,1660789.25,7.38,0,B
3cbbe4d4-698e-4713-afcb-ebacd45cad83,9304392.08,2444722.54,2634618.96,10152862.48,0.24,2,C
5ce12ca1-c6dd-492f-9afa-d98b54e373b4,18095654.8,8068573.97,24543532.84,4910662.32,1.64,2,C
12f9d272-8d56-4bed-ae82-b18ee8fdb4d2,17855992.82,15293275.19,13714473.17,5241724.2,2.92,1,D
10bc82db-b908-48fd-a216-4b700d22d905,34937737.97,8073505.14,58547578.15,3035762.01,2.66,1,A
037c5e38-8073-486c-9059-3e6525f1a19d,6893077.76,1520364.24,12852225.33,8561367.38,0.18,0,A
0176cf15-d3d3-4ec8-9b27-cf6a00540d9f,28069563.75,6456953.79,46051665.54,11203548.77,0.58,0,A
8484f5e6-112b-4e2a-b00a-bb7b4380e131,23396325.43,17382822.57,13232323.43,7928861.27,2.19,1,D
8a9879a5-9ade-45a1-9cdc-39730633b813,23497202.24,19747507.25,41088224.02,3565413.51,5.54,1,B
49688c7e-9d8e-49f9-9423-3c1b568adcbd,18783831.86,2140780.57,10663528.02,7987118.59,0.27,1,D
f103476a-9e3d-4054-bf73-b9f956c7f4e8,28680294.8,8713029.23,21480383.05,7380530.75,1.18,0,D
37d1066c-30eb-40a0-9f95-c81e9391e447,10697563.57,10411551.83,16067636.79,2457349.96,4.24,4,A
7c8741db-d04d-4996-be30-868b04bbc8c8,54465543.51,17487166.47,16382270.3,8262446.93,2.12,1,D
bc5c379f-2f0c-4c24-85ea-59bf33b7cced,108410124.38,7624363.75,205441582.94,5540288.88,1.38,2,A
d5f827c5-59b7-4703-bcc7-c77cefad31a0,88671998.49,4539780.52,101919316.29,4330724.21,1.05,2,C
c19eb4a9-6739-42b1-af0d-ca7582399446,14982923.19,4352472.21,3025847.56,5677583.42,0.77,0,D
5c5910f0-acd7-482f-868b-ecd5072271c1,12265141.28,8232944.83,22772266.04,5036491.09,1.63,0,A
47f6fa60-642b-43b3-8e2c-5243e811b4d2,47092196.51,23772162.54,33565043.39,13735003.8,1.73,3,C
ae6c6d1c-cc2a-478b-8ef2-987bd01a2d1f,12358707.75,11331631.31,24454870.05,2754573.59,4.11,2,A
30063648-1738-402c-a6a4-c0ed7efd3f9f,122195228.28,9609731.0,124041515.09,5976554.25,1.61,0,D
a8def271-2271-4c24-970d-c947d45b1d51,38111753.17,13323836.16,22794972.27,2602144.84,5.12,1,B
f6c129cd-e163-4de7-ac5f-cbbce1216863,20866684.98,10373884.75,20199981.48,2876293.02,3.61,0,D
437f3ce2-ca65-4570-a707-c24e6553af1e,16605823.67,9563123.29,13461905.33,6128221.26,1.56,2,C
8979cba4-3a25-4818-a40a-b9babc0a2850,18299971.26,5867400.44,20847949.79,8780991.89,0.67,2,C
0552952c-0d7c-4aaf-a459-a11aa02d079e,15646937.27,10017380.12,30542068.7,3455952.31,2.9,4,A
bc9635ab-46b0-41ab-a624-c3ae399c3d08,11697986.74,14152518.53,11006250.27,5767518.04,2.45,0,D
